original,updated/copied,status,notes,grammar_issue_flag
"A refusal to support this amendment simply shows that we will  continue to go on the same old tired path of watching the best workers  and the best entrepreneurs in the world be cheated out of their pursuit  of prosperity, and us all be cheated out of a healthier, more vibrant  economy.","A refusal to support this amendment simply shows that we will continue to go on the same old tired path of watching the best workers and the best entrepreneurs in the world be cheated out of their pursuit of prosperity, and us all be cheated out of a healthier, more vibrant economy.",done,,
,,,,
"The President's budget undermines and cuts the crucial investments we  have made in our cities and our neighborhoods, neighborhoods that we  all come from, neighborhoods where we all acknowledge the importance of  these communities.","The President's budget undermines and cuts the crucial investments we have made in our cities and our neighborhoods, neighborhoods that we all come from, neighborhoods where we all acknowledge the importance of these communities.",done,,
,,,,
"They are the kind of people I would want  working in an auditing agency like Arthur Laffer has spoke about  because I know they would be fair, they are honest.","They are the kind of people I would want working in an auditing agency like Arthur Laffer has spoke about, because I know they would be fair, they are honest.",done,,
,,,,
It is an example of the complete disregard  bureaucrats have for the practical implications of the regulations they  issue.,It is an example of the complete disregard bureaucrats have for the practical implications of the regulations they issue.,done,,
,,,,
These people in these local communities have a fundamental right to  basic healthcare.,These people in these local communities have a fundamental right to basic healthcare.,done,,
,,,,
"That shutdown lasted 16 days, cost the economy $24 billion, and  inflicted untold harm on federal workers and the people they serve.","That shutdown lasted 16 days, cost the economy $24 billion, and inflicted untold harm on federal workers and the people they serve.",done,,
